,sentence_id,word_len,word
816,27,7,drained
817,27,4,what
818,27,10,fractional
819,27,5,money
820,27,3,the
821,27,6,Post’s
822,27,3,had
823,27,5,saved
824,30,7,Heather
825,30,3,was
826,30,5,lucky
827,30,2,to
828,30,5,catch
829,30,1,a
830,30,7,glimpse
831,30,2,of
832,30,3,him
833,30,7,through
834,30,3,the
835,30,7,keyhole
836,30,2,of
837,30,3,the
838,30,4,dens
839,30,4,door
840,31,0,
841,32,3,For
842,32,3,the
843,32,7,longest
844,32,4,time
845,32,1,I
846,32,4,knew
847,32,7,Bernard
848,32,7,Abraham
849,32,4,Post
850,32,2,as
851,32,1,a
852,32,6,friend
853,32,3,and
854,32,7,partner
855,33,2,We
856,33,4,were
857,33,11,inseparable
858,33,2,in
859,33,3,the
860,33,4,days
861,33,2,of
862,33,10,university
863,33,3,and
864,33,3,our
865,33,5,brief
866,33,5,draft
867,33,4,into
868,33,3,the
869,33,9,Glasselle
870,33,8,uprising
871,39,4,Only
872,39,6,"later,"
873,39,4,when
874,39,1,I
875,39,3,was
876,39,5,alone
877,39,4,with
878,39,6,"Susan,"
879,39,9,Bernard’s
880,39,5,"wife,"
881,39,5,would
882,39,1,I
883,39,4,slip
884,39,3,her
885,39,1,a
886,39,3,few
887,39,5,notes
888,39,2,to
889,39,4,make
890,39,4,ends
891,39,4,meet
892,42,2,No
893,42,6,matter
894,42,3,the
895,42,5,offer
896,42,1,I
897,42,6,tended
898,42,2,to
899,42,2,my
900,42,6,friend
901,42,3,his
902,42,7,gesture
903,42,3,was
904,42,6,always
905,42,3,the
906,42,4,same
907,45,7,Heather
908,45,5,spent
909,45,3,her
910,45,8,eleventh
911,45,3,and
912,45,7,twelfth
913,45,9,birthdays
914,45,2,in
915,45,4,this
916,45,6,misery
917,45,3,and
918,45,8,hardship
919,51,2,It
920,51,3,had
921,51,6,seemed
922,51,4,they
923,51,3,had
924,51,4,come
925,51,3,out
926,51,2,of
927,51,5,their
928,51,10,depression
929,51,5,after
930,51,5,three
931,51,5,years
932,51,2,of
933,51,4,toil
934,54,3,The
935,54,3,two
936,54,2,of
937,38,9,Bernard’s
938,38,4,face
939,46,5,Those
940,46,4,that
941,46,3,saw
